epoch,train_loss,train_perplexity,val_loss,val_perplexity
1,0.1672801561765626,0.43486421517367024,5.842824862447341,344.75184296048843
2,0.15837037500996798,0.4310069164767264,5.790428859775724,327.15329718479643
3,0.15393241876662261,0.4290983830428995,5.789381697922513,326.8108940388773
4,0.15108081002944526,0.42787651701493806,5.8015569770938145,330.8142293187946
5,0.1489783795391544,0.42697788996601316,5.821973097596609,337.63758874616514
6,0.1474408994172595,0.42632193062047385,5.829151962761252,340.0701645901677
7,0.14617006333751217,0.42578049462519996,5.84302271367193,344.8200592829163
8,0.145260189105345,0.4253932678231434,5.857281809567868,349.7721035072111
9,0.14455872597987082,0.4250949776203256,5.870958937905386,354.5888459718978
10,0.1439770993517012,0.4248478053166758,5.8859551209811425,359.94639622233615
11,0.1435325690502067,0.42465899137160146,5.8991105426887716,364.7129269746939
12,0.1430904883529267,0.4244713011160488,5.904260649946427,366.5960827315945
13,0.14290624973955002,0.42439310506448946,5.912488644435192,369.62487664231594
14,0.14278367722524168,0.42434108982051844,5.913490509365716,369.9953764080439
15,0.14265205148055637,0.42428523981910793,5.916460002415738,371.0957080118027
16,0.14256208342724144,0.4242470697846071,5.91414679480964,370.2382786857959
17,0.1425088715281601,0.42422449560912245,5.914366398642937,370.3195933592086
18,0.1423568217425377,0.4241599978866828,5.912426108215813,369.6017624226878
19,0.1423217694489741,0.4241451305088552,5.9186531820263495,371.91048069702947
20,0.14225548328504495,0.4241170167562028,5.914065351207067,370.2081263744423
21,0.14225066052215557,0.42411497136491205,5.9156318511484365,370.7885118509248
22,0.1422332886956403,0.4241076038477506,5.916678145369674,371.1766687559283
23,0.14216714267882308,0.42407955201544134,5.915629679997966,370.78770681414693
24,0.14214118222652422,0.4240685429667813,5.913999026057113,370.183573079206
25,0.14210087201221572,0.42405144918114873,5.91446124659968,370.3547190817561
26,0.1420526894324015,0.42403101797621623,5.913774026709379,370.10029138623577
27,0.1420280839272937,0.42402058470710285,5.916760081760214,371.2070828784135
28,0.1421211520613901,0.4240600489702426,5.916720982646972,371.19256929438006
29,0.14213768977218463,0.4240670619435263,5.9164446154067125,371.0899980027244
30,0.1422344094387567,0.42410807915914306,5.915986201586007,370.91992420398253
31,0.14213207728513685,0.42406468190210356,5.917593191888563,371.5164681169677
32,0.14215379114250543,0.4240738899939179,5.917740043316212,371.5710298468418
33,0.1420970652005938,0.42404983491569415,5.916332023862322,371.0482187587802
34,0.14204848097348527,0.4240292334799408,5.919061682545591,372.06243735657955
35,0.14197111737964413,0.4239964306375476,5.920687627470275,372.6678824650813
36,0.1420474261373644,0.424028786203108,5.921129350763458,372.83253491212065
37,0.1420192872246232,0.4240168547762156,5.917840110254886,371.60821368270376
38,0.1420323267232341,0.4240223837265077,5.91398901094306,370.17986566706594
39,0.14194402668675415,0.423984944546031,5.914160291187708,370.24327559530013
40,0.14184770481825948,0.4239441078817656,5.913307257272224,369.9275801928235
